Index,Type,Question,Rows,Score,Gain
1,Decision,Is SkinThickness >= 35.5?,537,67.074027627227,13.029364291776545
2,Decision,Is BloodPressure >= 75.0?,105,40.07509523809524,1.1421624696473154
3,Decision,Is Outcome == Yes?,432,57.44004447022428,3.891498363860891
4,Decision,Is Outcome == Yes?,57,46.83665413533834,0.5903633748140266
5,Decision,Is SkinThickness >= 40.5?,48,19.267801418439714,0.27391780637709556
6,Decision,Is BloodPressure >= 87.0?,131,36.60258719906048,0.4797340199086757
7,Decision,Is BloodPressure >= 22.0?,301,59.566198228128464,4.2374469885732795
8,Leaf,,28,64.77915343915343,0
9,Leaf,,29,18.580960591133003,0
10,Leaf,,23,13.62118577075098,0
11,Leaf,,25,18.578933333333335,0
12,Leaf,,16,34.527291666666656,0
13,Decision,Is DiabetesPedigreeFunction >= 0.403?,115,34.65117467581998,0.47471168610539277
14,Decision,Is SkinThickness >= 23.5?,285,43.912879416851986,2.3311672979284777
15,Leaf,,16,196.17162499999998,0
26,Decision,Is SkinThickness >= 21.5?,57,29.737543859649122,0.21335559873694457
27,Decision,Is Age >= 34.5?,58,35.08491228070175,0.13957579878467102
28,Decision,Is Insulin >= 192.5?,99,34.13991548134405,0.7835972326887785
29,Decision,Is BloodPressure >= 77.0?,186,42.384312699796574,0.6863992117719732
52,Leaf,,33,13.559848484848485,0
53,Leaf,,24,47.20804347826087,0
54,Decision,Is Age >= 42.5?,33,19.822102272727268,0.11479337368094344
55,Leaf,,25,52.233733333333326,0
56,Leaf,,16,72.63395833333333,0
57,Decision,Is DiabetesPedigreeFunction >= 0.235?,83,21.64959741404643,0.21151999273956731
58,Decision,Is BloodPressure >= 83.0?,59,60.26774400935126,0.02004242691104617
59,Decision,Is Age >= 21.5?,127,31.173928258967628,0.4870440552037336
108,Leaf,,16,21.475333333333328,0
109,Leaf,,17,14.639999999999993,0
114,Decision,Is DiabetesPedigreeFunction >= 0.639?,65,21.469552884615382,0.3321116964213424
115,Leaf,,18,15.989411764705888,0
116,Decision,Is HeartAttack == Yes?,30,45.726160919540234,0.16277302290594547
117,Leaf,,29,74.93963054187192,0
118,Decision,Is DiabetesPedigreeFunction >= 0.201?,104,25.908565160567587,0.15698731276618158
119,Leaf,,23,43.611106719367584,0
228,Leaf,,18,11.799999999999997,0
229,Decision,Is Insulin >= 66.5?,47,21.37823311748381,0.22785361509189533
232,Leaf,,15,45.7712380952381,0
233,Leaf,,15,39.853809523809524,0
236,Decision,Is Insulin >= 59.5?,79,23.129834469328138,0.10633003867640747
237,Leaf,,25,31.317266666666665,0
458,Leaf,,23,14.625652173913043,0
459,Leaf,,24,22.751231884057965,0
472,Leaf,,26,13.686153846153848,0
473,Decision,Is HeartAttack == Yes?,53,26.685239477503625,0.1192651841833117
946,Leaf,,23,37.18351778656126,0
947,Decision,Is BloodPressure >= 64.5?,30,16.501712643678157,0.01591903569364551
1894,Leaf,,15,25.25571428571428,0
1895,Leaf,,15,7.177809523809523,0
