Leaf,Rows,Score,X1,X2
32,3,0.3333333333333333,1,1
41,3,0.3333333333333333,1,1
23,1,0,1,1
48,1,0,1,1
49,1,0,1,1
205,1,0,1,1
106,2,0,1,1
107,1,0,1,1
109,1,0,1,1
31,1,0,1,1
33,3,0.3333333333333333,1,1
17,1,0,1,1
18,2,0,1,1
19,3,0.3333333333333333,1,1
40,2,0,1,1
21,3,0,1,1
88,2,0,1,1
712,2,0,1,1
713,1,0,1,1
357,1,0,1,1
179,1,0,1,1
45,1,0,1,1
50,6,0.16666666666666666,1,1
204,3,0.3333333333333333,1,1
103,3,0,1,1
52,3,0,1,1
108,1,0,1,1
55,1,0,1,1
28,1,0,1,1
116,1,0,1,1
117,3,0,1,1
59,3,0,1,1
60,5,0,1,1
122,2,0,1,1
123,1,0,1,1
