Index,Type,Question,Rows,Score,Gain
1,Decision,Is X1 >= 0.66?,70,21.243064182194615,12.332891022021457
2,Decision,Is X2 >= 0.67?,25,9.406666666666666,2.2667765567765565
3,Decision,Is X2 >= 0.37?,45,8.634343434343434,3.256554112554112
4,Decision,Is X1 >= 0.68?,14,2.2637362637362637,0.20989010989010987
5,Decision,Is X2 >= 0.34?,11,4.072727272727273,0.5342857142857144
6,Decision,Is X1 >= 0.4?,26,3.9584615384615387,0.48100000000000015
7,Decision,Is X1 >= 0.46?,19,3.0350877192982457,0.5029931972789116
8,Decision,Is X1 >= 0.95?,13,1.3076923076923077,0.16095238095238096
9,Leaf,,1,0,0
10,Decision,Is X1 >= 0.76?,6,0.5666666666666667,0.027142857142857142
11,Decision,Is X2 >= 0.22?,5,0.8,0.042857142857142864
12,Decision,Is X1 >= 0.43?,9,2.5277777777777777,0.2127551020408163
13,Decision,Is X2 >= 0.83?,17,2.735294117647059,0.26666666666666666
14,Decision,Is X1 >= 0.52?,8,0.8571428571428571,0.07653061224489795
15,Decision,Is X1 >= 0.1?,11,1.4181818181818182,0.15142857142857144
16,Decision,Is X1 >= 0.97?,6,0.5666666666666667,0.027142857142857142
17,Decision,Is X1 >= 0.81?,7,0.3333333333333333,0.004761904761904762
20,Decision,Is X1 >= 0.8?,5,0.3,0.0023809523809523803
21,Leaf,,1,0,0
22,Decision,Is X1 >= 0.83?,2,0.5,0.014285714285714285
23,Leaf,,3,0,0
24,Decision,Is X2 >= 0.56?,8,0.9821428571428571,0.04795918367346938
25,Leaf,,1,0,0
26,Decision,Is X1 >= 0.15?,4,0.6666666666666666,0.023809523809523808
27,Decision,Is X1 >= 0.15?,13,1.935897435897436,0.14727891156462586
28,Decision,Is X1 >= 0.64?,5,0.3,0.007142857142857143
29,Leaf,,3,0,0
30,Decision,Is X1 >= 0.12?,8,0.125,0.014285714285714285
31,Decision,Is X1 >= 0.06?,3,1.3333333333333333,0.05714285714285714
32,Decision,Is X2 >= 0.83?,5,0.3,0.007142857142857143
33,Leaf,,1,0,0
34,Decision,Is X2 >= 0.85?,4,0.25,0.014285714285714285
35,Decision,Is X2 >= 0.82?,3,0.3333333333333333,0.014285714285714285
40,Decision,Is X1 >= 0.85?,4,0.3333333333333333,0.004761904761904761
41,Leaf,,1,0,0
44,Leaf,,1,0,0
45,Leaf,,1,0,0
48,Decision,Is X1 >= 0.49?,3,1,0.028571428571428574
49,Decision,Is X1 >= 0.61?,5,0.3,0.007142857142857143
52,Decision,Is X2 >= 0.87?,3,0.3333333333333333,0.014285714285714285
53,Leaf,,1,0,0
54,Decision,Is X2 >= 0.65?,8,1.3571428571428572,0.0836734693877551
55,Decision,Is X1 >= 0.09?,5,0.8,0.042857142857142864
56,Leaf,,2,0,0
57,Leaf,,3,0.3333333333333333,0
60,Leaf,,7,0,0
61,Leaf,,1,0,0
62,Leaf,,2,0,0
63,Leaf,,1,0,0
64,Leaf,,2,0,0
65,Leaf,,3,0.3333333333333333,0
68,Leaf,,1,0,0
69,Leaf,,3,0,0
70,Leaf,,2,0,0
71,Leaf,,1,0,0
80,Leaf,,3,0.3333333333333333,0
81,Leaf,,1,0,0
96,Decision,Is X1 >= 0.6?,2,0.5,0.014285714285714285
97,Leaf,,1,0,0
98,Leaf,,2,0,0
99,Leaf,,3,0.3333333333333333,0
104,Leaf,,2,0,0
105,Leaf,,1,0,0
108,Leaf,,3,0.3333333333333333,0
109,Decision,Is X1 >= 0.35?,5,0.8,0.01428571428571429
110,Decision,Is X1 >= 0.13?,2,0.5,0.014285714285714285
111,Leaf,,3,0,0
192,Leaf,,1,0,0
193,Leaf,,1,0,0
218,Leaf,,2,0,0
219,Decision,Is X1 >= 0.25?,3,1,0.028571428571428574
220,Leaf,,1,0,0
221,Leaf,,1,0,0
438,Decision,Is X1 >= 0.34?,2,0.5,0.014285714285714285
439,Leaf,,1,0,0
876,Leaf,,1,0,0
877,Leaf,,1,0,0
